Payouts Payout Currency,AED,AUD,CAD,CHF,CNY,CZK,EUR,GBP,HKD,JPY,KRW,MYR,NOK,NZD,PEN,SAR,SEK,SGD,THB,USD,ZAR
Transfer Dates Guaranteed Week,Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD),Money Moved Total Money Moved (USD)
2019-01-28,41103.607956333995,3764313.3518813336,3831600.5508390414,152041.1595886682,29702.289322683177,,1305476.5105233788,4015196.178237523,194838.74811892796,480155.309021794,,112493.78922928963,19840.8081813988,1001412.7171748335,,,,298051.8296034252,3010.55882719469,25281696.627075735,
2019-01-21,18181.157276283397,3579480.221554182,3872291.6641447055,135787.40635512696,17144.789693068997,,971383.4570239705,3545009.4024617844,560538.0120393949,394711.8123667368,,97051.66608169599,20963.804321341802,661280.2604879403,,,13282.3150575,309733.2833115739,2481.438139461,34577141.11530356,
2019-01-14,27660.223321389258,4950790.840227194,5762673.10557865,68614.248738773,32686.075495572768,,1007343.3130271339,3538985.7847424867,439766.61762280174,348945.781984679,,368299.5863984118,22451.627079608632,698496.2342050319,,,11215.869376999999,300224.81857254036,3450.24303371008,54026732.03846637,
2019-01-07,92816.337779704,4131004.9872721382,5569019.154902622,165382.3506657974,90553.37797058672,,1096858.6019305065,4785950.940574135,128311.10404744063,345754.78674902796,,175536.38565939674,19341.086539966702,872322.9244501577,,,16346.790968499998,231137.26557873227,1034.6363620068,72576368.39963682,1238.94952894984
2018-12-31,31536.010937647996,1922735.0984390709,4078629.479370385,50206.7782781983,251022.2427954326,,1005738.7311093804,4009968.3569887322,130092.68563517187,161760.28989074007,,105494.81781392968,11804.91936273596,264471.63814416097,,,42099.2891285,314573.7291638786,2467.50896216493,72983550.43957272,
2018-12-24,101999.36842614903,2009666.8792280115,3150818.9662172636,45489.66499262804,202111.681370748,,736435.4183998575,3532150.192835424,162163.21671617197,234143.19255654502,,82540.82209795408,2225.49,386828.77561594476,,,13779.3487855,341828.9660679912,2337.45560251505,48825532.63069439,
2018-12-17,178775.84777543534,3187628.6485133437,4832184.063979402,134263.02135302077,66485.89062052722,,965051.3942650013,3942452.654655757,126024.5411937564,591414.6487560291,,130499.54334234334,24905.77939012043,466799.09817532805,,,6036.423055557,424551.3368275439,1647.12915546893,39337652.92471027,
2018-12-10,48963.104223726,3236574.196630468,3658132.573176223,113951.6495301091,37328.71946198525,,906573.7225333485,3273178.155083027,13959.556439755112,574445.233049815,,49100.841627824375,6589.58,355011.6738187995,,,,399213.41085048753,,36651117.21310866,
2018-12-03,30688.904060989997,3104983.4773663683,3316321.181751674,180864.7421519644,2010.386141736,,821919.6041329089,3307451.3913204945,29445.76545485034,600586.193662232,,24227.672602967592,8980.89453665038,377738.06870448566,,,9647.5014705,506714.417252643,3719.79045801396,27319375.584151205,
2018-11-26,63338.053189502,3376323.278687191,2991278.629377908,562195.7763852151,4156.833672086361,,914873.6984710431,2885753.981390733,12655.877195308878,561857.5602177259,,126853.64920773549,29007.906705247962,328217.7689411032,,,,167942.1199281071,369.38648089000003,22053405.651795585,
2018-11-19,69241.44053641683,3211163.3153179404,3391809.7409713767,276009.02246449253,13898.928057533001,,790542.3517663081,2425753.0703728558,15674.15018333812,471796.1457558148,,134922.38413799758,17525.12793504094,201678.8406686113,,,9608.0397495,134705.44521263771,,10962830.197062923,
2018-11-12,16946.221944330002,2979526.824921618,4863640.929555315,269725.7519563515,13698.23905627557,,829220.5215684777,2320929.598074476,37104.42854441711,768850.265159444,,79256.6065879129,7014.643665025,233165.78849577566,,,49856.798484285006,171930.8375596864,2816.7634273605,10187903.093697907,
2018-11-05,7990.8509306192,1941365.5223697522,5534258.798439155,223409.21477103888,37765.39942334948,,946379.7280001808,1961633.4698494202,30189.732210164944,543761.214564201,,40178.78297111849,14121.100655595921,244421.16727391887,,,98492.74905730998,146769.35582841426,1503.48682881204,6788052.848899009,
2018-10-29,12019.060602919999,1658623.8466222393,4500289.337929879,86001.95715834947,48054.45829322263,,1219894.727541635,2164118.656496066,32957.46265542904,262560.44004713796,,70503.80439501772,8011.42,139857.0881167386,,,62388.590996239,236879.02664032058,1006.8990671440401,9307230.307360012,
2018-10-22,18046.29001945,1773528.961940671,4313482.87028022,216454.272750699,27030.738428987148,,934892.6285298003,2706836.004505423,22847.66810944145,226540.11547291104,,55251.09473031617,17219.431463995177,80002.3771553231,,,50657.884831871,301168.2038445399,1541.46886702809,7882914.051768775,320.81036656
2018-10-15,14145.4595168376,1803426.7196544334,4861346.469735942,33546.16752033501,3266.1178028364,,990762.0620324847,2733957.9624616886,100510.18590972948,294819.8223357119,,16582.339211815004,4890,178485.91838888,,,48439.41915762601,299943.2188183153,2521.05538787636,6504262.978564085,479.75231288400005
